173,Stütz Christian Dr. med. univ.,Freistadt,0:19:07
725,Leitenbauer Manfred,,0:19:01
1019,Kamenschak Kevin,Oberbank,0:15:42
527,Ratzenböck Jürgen Di,FHOÖ Sportsteam,0:19:01
713,Pölzgutter Christoph,Askö,0:16:17
1051,Lahmer Gerald,,0:16:48
129,Gstöttner Simon,Lenzing,0:18:27
842,Radlmayr Alois,TriRun Linz,0:18:19
820,Pilat Marco,,0:18:19
975,Leitenbauer Paul,LAC Amateure Steyr,0:16:33
854,Schöber Matthäus,TriRun Linz,0:17:27
1940,The Flash,DC Comics,Too fast to measure!
679,Bamberger Michael .,Immo GmbH,0:17:31
529,Michal Lewandowski MSc,Linz,0:18:53
646,Kienberger Michael Mag.,FHOÖ Sportsteam,0:19:06
712,Nishimura Shogo,Linz,0:16:41
994,Kosgei Isaac-Toroitich,Zehnkampf Union,0:15:13
637,Jung Manuel,2radchaoten.com,0:18:35
633,Natmessnig Herwig Mag.,KV Klagenfurt,0:18:51
1056,Herndler Sigrid,laufend-besser.at,0:19:02
159,Fürst Andreas,Lasberg,0:18:10
875,Mayrhofer Franz,TriRun Linz,0:17:21
851,Plank Ronald,TriRun Linz,0:17:55
827,Weidenauer Moritz,TriRun Linz,0:18:59
583,Fegerl Michael,Tri Team 1. USC Traun,0:19:14
716,Ferdinand Hager,Bike Team Ginner,0:18:03
666,Huber Markus,TriRun Linz,0:18:05
239,Ortner Dominik,DCC Danube Cycling Club,0:18:18
389,Exel Dominik,Ried In Traunkreis,0:17:51
366,Adriaans Erwin,Solvistas,0:18:06
33,Lindorfer Manuel,Sportunion Arnreit,0:18:30
805,Kastl Wolfgang,,0:18:02
659,Böhm Florian,Haidersport,0:17:52
628,Graschitz Daniel LL.M.(WU),Linz,0:17:07
383,Dutzler Markus,Ried In Traunkreis,0:19:16
759,Ahammer Daniel,,0:18:24
1039,Kaufmann Lukas,Immo United Running,0:17:55
1053,Schuster Bernadette,SK VÖEST,0:18:15
764,Pansi Marco,,0:19:09
671,Oberleithner Klemens,RATS Amstetten,0:16:53
219,Hofer Elias,Linz,0:19:16
225,Hell Christian Mag.,BSV Land OÖ,0:17:59
1032,Ryan Alan,,0:19:00
670,Oberleithner Lukas,RATS Amstetten,0:17:59
563,Jungbauer Thomas,Askö Laufwunder Steyr /Machsport,0:18:34
384,Gebeshuber David,Ried In Traunkreis,0:19:07
419,Florian Eckerstorfer,SwimBikeRun Enns,0:18:07
1040,Thompson Natalie,,0:19:15
853,Reichel Felix,TriRun Linz,0:17:34
40,Rabiser Rick Dr.,Linz,0:18:04
433,Unger Alex,ASKÖ Swim Bike Run Enns,0:17:20
